,age,gender,degree,extra_degree,nationality,married,experience,qualified
36,43.0,1.0,1.0,1.0,1.0,0.0,13.0,1
37,60.0,1.0,0.0,0.0,0.0,0.0,6.0,0
38,26.0,0.0,1.0,0.0,1.0,0.0,5.0,1
39,37.0,1.0,0.0,0.0,1.0,1.0,18.0,0
40,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0
41,31.0,1.0,1.0,0.0,1.0,1.0,4.0,0
42,35.0,1.0,1.0,0.0,1.0,1.0,3.0,0
43,36.0,1.0,0.0,0.0,1.0,0.0,7.0,0
44,46.0,0.0,0.0,0.0,0.0,0.0,16.0,0
45,25.0,1.0,0.0,0.0,1.0,0.0,3.0,0
46,46.0,0.0,1.0,1.0,0.0,0.0,1.0,0
47,38.0,0.0,1.0,1.0,0.0,1.0,10.0,1
48,26.0,0.0,1.0,1.0,0.0,0.0,3.0,1
49,49.0,0.0,0.0,0.0,0.0,1.0,27.0,1
50,24.0,1.0,1.0,0.0,1.0,0.0,2.0,0
51,40.0,0.0,1.0,1.0,1.0,0.0,14.0,1
52,39.0,0.0,1.0,0.0,1.0,0.0,10.0,1
53,55.0,1.0,1.0,0.0,0.0,1.0,15.0,0
54,64.0,1.0,0.0,0.0,1.0,0.0,22.0,0
55,36.0,0.0,1.0,1.0,0.0,0.0,3.0,1
56,36.0,0.0,1.0,1.0,0.0,0.0,12.0,1
57,25.0,1.0,1.0,0.0,1.0,0.0,1.0,0
58,47.0,0.0,0.0,0.0,0.0,1.0,19.0,0
59,27.0,0.0,0.0,0.0,1.0,0.0,6.0,0
60,64.0,0.0,1.0,1.0,0.0,0.0,38.0,1
61,31.0,0.0,0.0,0.0,1.0,0.0,8.0,0
62,54.0,0.0,0.0,0.0,0.0,1.0,22.0,0
63,27.0,0.0,1.0,1.0,0.0,0.0,2.0,1
64,39.0,1.0,1.0,0.0,0.0,1.0,10.0,0
65,44.0,0.0,0.0,0.0,0.0,0.0,20.0,0
66,58.0,0.0,1.0,1.0,1.0,1.0,31.0,1
67,34.0,1.0,1.0,1.0,1.0,0.0,10.0,1
68,63.0,1.0,0.0,0.0,0.0,0.0,44.0,0
69,29.0,0.0,1.0,1.0,1.0,0.0,4.0,1
70,23.0,1.0,1.0,1.0,0.0,0.0,0.0,0
71,30.0,1.0,1.0,1.0,0.0,1.0,2.0,0
72,56.0,0.0,0.0,0.0,0.0,0.0,34.0,0
73,37.0,1.0,1.0,1.0,0.0,0.0,13.0,1
74,57.0,0.0,1.0,1.0,0.0,0.0,13.0,1
75,57.0,0.0,0.0,0.0,1.0,1.0,25.0,0
76,37.0,1.0,1.0,1.0,0.0,0.0,13.0,1
77,25.0,1.0,1.0,0.0,0.0,0.0,4.0,0
78,33.0,0.0,1.0,1.0,0.0,0.0,6.0,1
79,35.0,0.0,0.0,0.0,0.0,1.0,16.0,0
80,49.0,0.0,1.0,0.0,0.0,1.0,28.0,1
81,24.0,0.0,0.0,0.0,1.0,1.0,5.0,0
82,55.0,0.0,1.0,1.0,0.0,0.0,18.0,1
83,46.0,0.0,1.0,1.0,0.0,0.0,23.0,1
84,30.0,1.0,1.0,0.0,0.0,0.0,9.0,1
85,34.0,0.0,1.0,1.0,1.0,0.0,7.0,1
86,23.0,1.0,0.0,0.0,1.0,1.0,3.0,0
87,49.0,0.0,0.0,0.0,0.0,0.0,22.0,0
88,22.0,0.0,0.0,0.0,0.0,0.0,3.0,0
89,58.0,0.0,1.0,1.0,1.0,1.0,19.0,1
90,31.0,0.0,1.0,1.0,1.0,0.0,5.0,1
91,33.0,1.0,1.0,0.0,0.0,0.0,12.0,1
92,22.0,0.0,0.0,0.0,0.0,0.0,2.0,0
93,62.0,1.0,1.0,1.0,1.0,0.0,20.0,1
94,39.0,1.0,1.0,1.0,1.0,0.0,13.0,1
95,36.0,0.0,1.0,0.0,1.0,1.0,12.0,1
96,42.0,1.0,1.0,1.0,0.0,1.0,17.0,1
97,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0
98,45.0,0.0,0.0,0.0,0.0,1.0,19.0,0
99,26.0,1.0,1.0,0.0,0.0,0.0,2.0,0
100,59.0,1.0,1.0,1.0,0.0,0.0,22.0,1
101,34.0,1.0,1.0,1.0,1.0,0.0,9.0,1
102,40.0,0.0,1.0,0.0,1.0,1.0,17.0,1
103,61.0,1.0,1.0,0.0,0.0,1.0,21.0,0
104,32.0,1.0,1.0,1.0,1.0,0.0,4.0,1
105,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0
106,58.0,1.0,0.0,0.0,0.0,0.0,36.0,0
107,59.0,0.0,1.0,1.0,0.0,1.0,28.0,1
108,23.0,0.0,1.0,0.0,0.0,0.0,1.0,1
109,27.0,0.0,1.0,0.0,1.0,0.0,5.0,1
110,31.0,0.0,0.0,0.0,0.0,0.0,13.0,0
111,29.0,1.0,1.0,1.0,0.0,0.0,4.0,1
112,27.0,1.0,1.0,1.0,0.0,1.0,4.0,1
113,39.0,1.0,0.0,0.0,0.0,0.0,7.0,0
114,20.0,1.0,0.0,0.0,0.0,0.0,1.0,0
115,34.0,0.0,1.0,1.0,0.0,0.0,8.0,1
116,50.0,0.0,1.0,0.0,0.0,0.0,29.0,1
117,54.0,1.0,0.0,0.0,1.0,1.0,32.0,0
118,25.0,0.0,1.0,0.0,1.0,0.0,4.0,0
119,53.0,0.0,0.0,0.0,1.0,1.0,5.0,0
120,26.0,1.0,0.0,0.0,0.0,0.0,5.0,0
121,26.0,0.0,1.0,0.0,0.0,0.0,4.0,0
122,37.0,0.0,1.0,1.0,0.0,0.0,7.0,1
123,35.0,1.0,1.0,1.0,0.0,0.0,3.0,0
124,33.0,0.0,1.0,0.0,1.0,1.0,10.0,1
125,64.0,1.0,1.0,0.0,0.0,0.0,7.0,0
126,46.0,1.0,1.0,1.0,0.0,0.0,19.0,1
127,30.0,0.0,0.0,0.0,0.0,0.0,7.0,0
128,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0
129,31.0,1.0,1.0,1.0,0.0,1.0,5.0,1
130,52.0,0.0,1.0,1.0,0.0,0.0,28.0,1
131,41.0,0.0,1.0,0.0,0.0,0.0,2.0,0
132,37.0,1.0,0.0,0.0,1.0,1.0,4.0,0
133,26.0,0.0,1.0,0.0,0.0,0.0,5.0,1
134,33.0,0.0,1.0,1.0,1.0,1.0,6.0,1
135,28.0,1.0,1.0,0.0,0.0,0.0,4.0,0
136,40.0,1.0,0.0,0.0,0.0,0.0,21.0,0
137,46.0,1.0,1.0,0.0,0.0,0.0,7.0,0
138,48.0,1.0,1.0,0.0,1.0,0.0,21.0,1
139,25.0,1.0,0.0,0.0,0.0,1.0,2.0,0
140,53.0,0.0,1.0,1.0,0.0,0.0,9.0,1
141,22.0,0.0,1.0,0.0,1.0,0.0,1.0,1
142,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0
143,33.0,1.0,1.0,1.0,1.0,0.0,10.0,1
144,25.0,0.0,1.0,0.0,1.0,0.0,4.0,1
145,30.0,0.0,1.0,0.0,0.0,0.0,1.0,0
146,23.0,1.0,1.0,0.0,0.0,0.0,2.0,0
147,20.0,1.0,1.0,0.0,1.0,0.0,0.0,0
148,41.0,1.0,1.0,0.0,0.0,1.0,18.0,1
149,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0
150,35.0,1.0,1.0,0.0,0.0,1.0,11.0,1
151,57.0,1.0,1.0,1.0,0.0,0.0,24.0,1
152,45.0,1.0,1.0,1.0,0.0,1.0,17.0,1
153,58.0,0.0,0.0,0.0,1.0,0.0,27.0,0
154,35.0,1.0,1.0,1.0,1.0,0.0,2.0,0
155,46.0,0.0,1.0,0.0,0.0,0.0,19.0,1
156,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0
157,48.0,0.0,1.0,1.0,0.0,1.0,25.0,1
158,22.0,1.0,1.0,0.0,1.0,0.0,1.0,0
159,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0
160,34.0,1.0,1.0,0.0,0.0,0.0,4.0,0
161,60.0,0.0,0.0,0.0,1.0,1.0,1.0,0
162,43.0,1.0,1.0,1.0,0.0,1.0,4.0,0
163,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0
164,24.0,1.0,1.0,0.0,0.0,0.0,0.0,0
165,37.0,1.0,0.0,0.0,0.0,1.0,15.0,0
166,35.0,0.0,1.0,0.0,1.0,0.0,7.0,1
167,38.0,1.0,1.0,0.0,0.0,0.0,16.0,1
168,30.0,0.0,1.0,1.0,1.0,0.0,2.0,1
169,36.0,0.0,1.0,0.0,1.0,0.0,14.0,1
170,30.0,0.0,1.0,1.0,0.0,0.0,6.0,1
171,32.0,1.0,0.0,0.0,0.0,1.0,7.0,0
172,51.0,1.0,1.0,1.0,0.0,0.0,20.0,1
173,53.0,1.0,0.0,0.0,0.0,0.0,26.0,0
174,30.0,1.0,1.0,1.0,0.0,1.0,7.0,1
175,35.0,1.0,1.0,0.0,0.0,0.0,14.0,1
176,55.0,0.0,1.0,0.0,0.0,0.0,19.0,1
177,34.0,0.0,1.0,0.0,0.0,1.0,9.0,1
178,47.0,0.0,0.0,0.0,0.0,1.0,23.0,1
179,53.0,1.0,1.0,1.0,0.0,1.0,5.0,0
180,37.0,1.0,1.0,0.0,1.0,1.0,3.0,0
181,37.0,1.0,0.0,0.0,1.0,0.0,17.0,0
182,49.0,1.0,0.0,0.0,1.0,0.0,25.0,0
183,33.0,0.0,0.0,0.0,0.0,0.0,10.0,1
184,50.0,0.0,0.0,0.0,0.0,0.0,26.0,0
185,49.0,0.0,0.0,0.0,0.0,1.0,26.0,0
186,31.0,1.0,1.0,0.0,0.0,0.0,6.0,0
187,59.0,1.0,0.0,0.0,0.0,0.0,27.0,0
188,29.0,1.0,0.0,0.0,0.0,0.0,11.0,0
189,25.0,1.0,0.0,0.0,1.0,0.0,7.0,0
190,40.0,1.0,1.0,1.0,0.0,1.0,17.0,1
191,35.0,0.0,1.0,1.0,1.0,0.0,12.0,1
192,32.0,1.0,0.0,0.0,0.0,0.0,10.0,0
193,46.0,0.0,1.0,0.0,0.0,0.0,20.0,1
194,39.0,0.0,1.0,0.0,0.0,1.0,5.0,0
195,52.0,1.0,0.0,0.0,0.0,0.0,27.0,0
196,45.0,0.0,1.0,0.0,0.0,0.0,24.0,1
197,45.0,1.0,0.0,0.0,0.0,0.0,15.0,0
198,36.0,0.0,1.0,1.0,1.0,1.0,9.0,1
199,38.0,1.0,0.0,0.0,0.0,1.0,11.0,0
200,53.0,0.0,1.0,1.0,1.0,1.0,30.0,1
201,21.0,1.0,1.0,0.0,1.0,0.0,0.0,0
202,26.0,1.0,1.0,1.0,1.0,0.0,1.0,0
203,44.0,0.0,1.0,0.0,0.0,0.0,17.0,1
204,48.0,0.0,1.0,1.0,0.0,0.0,15.0,1
205,56.0,1.0,0.0,0.0,1.0,1.0,15.0,0
206,63.0,1.0,1.0,1.0,0.0,0.0,7.0,0
207,26.0,0.0,1.0,0.0,0.0,0.0,2.0,1
208,60.0,1.0,0.0,0.0,1.0,1.0,36.0,0
209,40.0,0.0,1.0,1.0,1.0,0.0,3.0,1
210,26.0,0.0,1.0,1.0,1.0,1.0,2.0,1
211,45.0,1.0,1.0,0.0,0.0,1.0,20.0,1
212,42.0,0.0,0.0,0.0,0.0,0.0,17.0,0
213,37.0,0.0,1.0,1.0,0.0,0.0,9.0,1
214,56.0,1.0,0.0,0.0,0.0,1.0,15.0,0
215,39.0,1.0,0.0,0.0,0.0,0.0,14.0,0
216,51.0,1.0,0.0,0.0,0.0,0.0,30.0,0
217,24.0,1.0,0.0,0.0,1.0,0.0,5.0,0
218,41.0,0.0,1.0,1.0,1.0,0.0,8.0,1
219,25.0,0.0,1.0,1.0,0.0,0.0,1.0,1
220,25.0,1.0,1.0,1.0,0.0,0.0,2.0,0
221,60.0,0.0,1.0,0.0,0.0,0.0,14.0,0
222,28.0,1.0,1.0,1.0,1.0,1.0,4.0,1
223,49.0,1.0,1.0,0.0,0.0,1.0,27.0,1
224,42.0,0.0,0.0,0.0,1.0,0.0,11.0,0
225,31.0,0.0,1.0,0.0,0.0,0.0,10.0,1
226,31.0,0.0,0.0,0.0,0.0,1.0,12.0,0
227,44.0,0.0,0.0,0.0,0.0,0.0,16.0,0
228,56.0,1.0,1.0,1.0,0.0,1.0,32.0,1
229,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0
230,29.0,1.0,1.0,1.0,1.0,1.0,4.0,1
231,35.0,1.0,1.0,1.0,0.0,0.0,12.0,1
232,38.0,0.0,1.0,1.0,0.0,0.0,13.0,1
233,56.0,0.0,0.0,0.0,1.0,0.0,33.0,0
234,26.0,1.0,1.0,1.0,1.0,1.0,3.0,1
235,35.0,0.0,1.0,0.0,1.0,0.0,7.0,1
236,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0
237,40.0,1.0,1.0,1.0,1.0,1.0,17.0,1
238,48.0,0.0,0.0,0.0,1.0,0.0,9.0,0
239,47.0,0.0,0.0,0.0,0.0,1.0,20.0,0
240,42.0,1.0,1.0,1.0,1.0,1.0,12.0,1
241,39.0,0.0,1.0,1.0,0.0,1.0,2.0,0
242,35.0,1.0,1.0,1.0,0.0,0.0,11.0,1
243,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0
244,44.0,0.0,0.0,0.0,0.0,1.0,19.0,1
245,42.0,1.0,1.0,1.0,0.0,1.0,18.0,1
246,32.0,1.0,1.0,0.0,0.0,0.0,8.0,0
247,31.0,1.0,1.0,1.0,1.0,1.0,8.0,1
248,43.0,0.0,1.0,1.0,1.0,0.0,7.0,1
249,35.0,0.0,0.0,0.0,1.0,1.0,14.0,0
250,48.0,1.0,1.0,0.0,0.0,1.0,4.0,0
251,31.0,0.0,1.0,0.0,0.0,0.0,9.0,1
252,27.0,0.0,0.0,0.0,0.0,0.0,5.0,0
253,36.0,0.0,1.0,1.0,0.0,1.0,12.0,1
254,40.0,1.0,1.0,1.0,0.0,0.0,4.0,0
255,44.0,1.0,1.0,1.0,0.0,0.0,12.0,1
256,28.0,1.0,1.0,1.0,1.0,0.0,3.0,0
257,27.0,1.0,0.0,0.0,1.0,0.0,7.0,0
258,40.0,1.0,1.0,1.0,1.0,1.0,15.0,1
259,46.0,1.0,0.0,0.0,0.0,0.0,20.0,0
260,50.0,1.0,0.0,0.0,0.0,0.0,30.0,0
261,25.0,1.0,1.0,1.0,0.0,0.0,1.0,0
262,56.0,1.0,0.0,0.0,0.0,0.0,25.0,0
263,64.0,1.0,0.0,0.0,0.0,1.0,33.0,0
264,49.0,1.0,0.0,0.0,0.0,1.0,26.0,0
265,42.0,0.0,1.0,1.0,0.0,1.0,15.0,1
266,32.0,0.0,0.0,0.0,1.0,1.0,5.0,0
267,41.0,0.0,1.0,1.0,0.0,1.0,18.0,1
268,58.0,0.0,0.0,0.0,1.0,1.0,40.0,1
269,22.0,0.0,1.0,1.0,0.0,0.0,0.0,1
270,50.0,0.0,0.0,0.0,1.0,0.0,31.0,0
271,27.0,1.0,1.0,1.0,1.0,0.0,4.0,1
272,29.0,1.0,1.0,1.0,1.0,1.0,5.0,1
273,34.0,1.0,1.0,1.0,1.0,1.0,8.0,1
274,33.0,1.0,1.0,1.0,0.0,0.0,3.0,0
275,47.0,0.0,1.0,0.0,1.0,1.0,23.0,1
276,30.0,0.0,1.0,1.0,0.0,0.0,7.0,1
277,39.0,1.0,1.0,1.0,0.0,1.0,13.0,1
278,44.0,1.0,1.0,0.0,0.0,0.0,10.0,0
279,34.0,0.0,1.0,0.0,0.0,0.0,3.0,0
280,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0
281,25.0,0.0,1.0,0.0,0.0,0.0,4.0,1
282,58.0,0.0,1.0,0.0,0.0,1.0,13.0,0
283,57.0,0.0,1.0,1.0,0.0,1.0,25.0,1
284,52.0,1.0,1.0,1.0,0.0,0.0,13.0,1
285,48.0,1.0,1.0,1.0,0.0,0.0,24.0,1
286,45.0,0.0,1.0,0.0,0.0,0.0,17.0,1
287,47.0,1.0,1.0,1.0,1.0,1.0,11.0,1
288,31.0,0.0,0.0,0.0,1.0,1.0,9.0,0
289,33.0,1.0,1.0,1.0,1.0,0.0,6.0,1
290,59.0,1.0,0.0,0.0,0.0,0.0,25.0,0
291,44.0,0.0,1.0,0.0,1.0,0.0,22.0,1
292,22.0,0.0,1.0,0.0,1.0,0.0,1.0,0
293,33.0,0.0,0.0,0.0,1.0,0.0,14.0,1
294,43.0,1.0,1.0,1.0,1.0,0.0,10.0,1
295,63.0,0.0,0.0,0.0,1.0,1.0,28.0,0
296,52.0,1.0,1.0,1.0,0.0,0.0,12.0,1
297,39.0,0.0,1.0,1.0,1.0,1.0,9.0,1
298,29.0,0.0,1.0,1.0,1.0,0.0,3.0,1
299,42.0,1.0,1.0,0.0,0.0,1.0,13.0,1
300,37.0,0.0,0.0,0.0,0.0,0.0,3.0,0
301,32.0,1.0,1.0,0.0,1.0,1.0,11.0,1
302,33.0,1.0,1.0,1.0,0.0,0.0,4.0,0
303,40.0,1.0,1.0,0.0,0.0,1.0,5.0,0
304,22.0,1.0,1.0,0.0,1.0,0.0,1.0,0
305,60.0,0.0,0.0,0.0,0.0,1.0,40.0,1
306,40.0,0.0,1.0,0.0,1.0,1.0,19.0,1
307,50.0,0.0,0.0,0.0,1.0,0.0,25.0,0
308,54.0,1.0,1.0,1.0,0.0,0.0,5.0,0
309,25.0,0.0,1.0,1.0,0.0,0.0,2.0,1
310,42.0,0.0,0.0,0.0,1.0,0.0,16.0,0
311,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1
312,30.0,1.0,0.0,0.0,1.0,0.0,4.0,0
313,34.0,1.0,0.0,0.0,0.0,1.0,8.0,0
314,61.0,1.0,1.0,1.0,0.0,1.0,35.0,1
315,31.0,1.0,1.0,1.0,0.0,0.0,6.0,1
316,59.0,0.0,1.0,1.0,0.0,0.0,24.0,1
317,61.0,0.0,1.0,1.0,0.0,1.0,35.0,1
318,31.0,1.0,1.0,1.0,0.0,0.0,6.0,1
319,28.0,0.0,1.0,0.0,0.0,0.0,5.0,1
320,34.0,1.0,1.0,1.0,1.0,0.0,11.0,1
321,52.0,1.0,0.0,0.0,0.0,0.0,18.0,0
322,60.0,0.0,1.0,1.0,0.0,0.0,22.0,1
323,25.0,1.0,0.0,0.0,0.0,0.0,5.0,0
324,37.0,0.0,0.0,0.0,1.0,0.0,18.0,1
325,59.0,1.0,0.0,0.0,1.0,1.0,25.0,0
326,35.0,0.0,1.0,1.0,0.0,1.0,4.0,1
327,49.0,1.0,1.0,1.0,0.0,1.0,24.0,1
328,36.0,0.0,0.0,0.0,0.0,0.0,17.0,0
329,26.0,1.0,1.0,1.0,1.0,0.0,1.0,0
330,22.0,0.0,1.0,0.0,1.0,0.0,1.0,1
331,49.0,1.0,1.0,1.0,1.0,1.0,10.0,1
332,39.0,0.0,1.0,1.0,1.0,0.0,14.0,1
333,36.0,0.0,1.0,0.0,0.0,0.0,8.0,1
334,53.0,1.0,1.0,0.0,1.0,1.0,19.0,1
335,36.0,1.0,1.0,1.0,0.0,1.0,11.0,1
336,28.0,1.0,1.0,0.0,0.0,0.0,5.0,0
337,40.0,1.0,1.0,1.0,0.0,0.0,13.0,1
338,62.0,1.0,1.0,0.0,0.0,1.0,33.0,1
339,48.0,1.0,1.0,1.0,0.0,1.0,24.0,1
340,39.0,1.0,1.0,0.0,1.0,0.0,18.0,1
341,53.0,0.0,0.0,0.0,0.0,1.0,30.0,0
342,47.0,1.0,1.0,1.0,0.0,1.0,12.0,1
343,23.0,1.0,1.0,0.0,1.0,0.0,2.0,0
344,39.0,0.0,0.0,0.0,1.0,0.0,11.0,0
345,34.0,1.0,1.0,1.0,0.0,1.0,10.0,1
346,29.0,1.0,1.0,0.0,1.0,0.0,8.0,0
347,27.0,1.0,1.0,1.0,0.0,0.0,4.0,1
348,48.0,1.0,1.0,1.0,0.0,1.0,13.0,1
349,42.0,1.0,0.0,0.0,0.0,0.0,24.0,0
350,51.0,1.0,1.0,0.0,1.0,1.0,8.0,0
351,41.0,0.0,1.0,0.0,0.0,1.0,17.0,1
352,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0
353,20.0,1.0,0.0,0.0,0.0,0.0,2.0,0
354,43.0,0.0,1.0,1.0,0.0,0.0,11.0,1
355,35.0,0.0,0.0,0.0,1.0,0.0,9.0,0
356,31.0,0.0,1.0,0.0,1.0,0.0,6.0,1
357,38.0,1.0,1.0,1.0,0.0,0.0,9.0,1
358,31.0,0.0,1.0,0.0,0.0,0.0,2.0,0
359,42.0,0.0,1.0,1.0,1.0,0.0,18.0,1
360,51.0,0.0,1.0,1.0,0.0,0.0,23.0,1
361,41.0,0.0,1.0,0.0,1.0,1.0,12.0,1
362,26.0,1.0,1.0,1.0,1.0,0.0,3.0,1
363,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0
364,32.0,0.0,1.0,1.0,1.0,1.0,8.0,1
365,32.0,0.0,1.0,1.0,0.0,0.0,9.0,1
366,38.0,0.0,0.0,0.0,1.0,0.0,11.0,0
367,41.0,1.0,0.0,0.0,0.0,1.0,7.0,0
368,53.0,0.0,0.0,0.0,0.0,1.0,11.0,0
369,59.0,1.0,0.0,0.0,0.0,0.0,33.0,0
370,62.0,0.0,1.0,1.0,0.0,1.0,10.0,1
371,21.0,0.0,0.0,0.0,1.0,0.0,3.0,0
372,26.0,1.0,1.0,1.0,0.0,0.0,2.0,0
373,38.0,0.0,1.0,1.0,1.0,0.0,6.0,1
374,47.0,0.0,1.0,1.0,1.0,1.0,24.0,1
375,26.0,1.0,1.0,1.0,1.0,0.0,3.0,0
376,37.0,1.0,0.0,0.0,0.0,1.0,16.0,0
377,47.0,1.0,1.0,0.0,1.0,0.0,5.0,0
378,39.0,0.0,1.0,1.0,1.0,1.0,8.0,1
379,38.0,0.0,0.0,0.0,1.0,0.0,16.0,0
380,38.0,0.0,0.0,0.0,1.0,0.0,13.0,0
381,50.0,0.0,1.0,0.0,0.0,1.0,28.0,1
382,24.0,1.0,1.0,0.0,0.0,0.0,1.0,0
383,55.0,1.0,0.0,0.0,1.0,1.0,36.0,0
384,27.0,1.0,1.0,1.0,0.0,0.0,4.0,1
385,39.0,0.0,1.0,1.0,0.0,1.0,16.0,1
386,49.0,0.0,0.0,0.0,1.0,1.0,4.0,0
387,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0
388,47.0,1.0,1.0,1.0,1.0,0.0,22.0,1
389,47.0,0.0,1.0,0.0,0.0,1.0,24.0,1
390,42.0,0.0,0.0,0.0,0.0,0.0,14.0,0
391,34.0,0.0,1.0,1.0,0.0,1.0,11.0,1
392,39.0,0.0,0.0,0.0,1.0,0.0,14.0,0
393,38.0,0.0,1.0,1.0,0.0,0.0,15.0,1
394,47.0,0.0,1.0,1.0,0.0,1.0,11.0,1
395,45.0,1.0,1.0,1.0,0.0,1.0,19.0,1
396,32.0,1.0,1.0,0.0,1.0,0.0,3.0,0
397,52.0,0.0,1.0,1.0,1.0,1.0,24.0,1
398,22.0,1.0,1.0,0.0,0.0,0.0,1.0,0
399,58.0,0.0,1.0,1.0,1.0,1.0,32.0,1
400,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0
401,60.0,1.0,0.0,0.0,0.0,0.0,40.0,0
402,55.0,0.0,0.0,0.0,0.0,1.0,10.0,0
403,49.0,1.0,1.0,1.0,1.0,1.0,26.0,1
404,52.0,1.0,1.0,0.0,0.0,0.0,7.0,0
405,36.0,1.0,1.0,1.0,1.0,1.0,11.0,1
406,57.0,0.0,1.0,1.0,1.0,1.0,2.0,0
407,49.0,1.0,1.0,1.0,0.0,1.0,14.0,1
408,26.0,0.0,1.0,1.0,0.0,0.0,3.0,1
409,41.0,1.0,0.0,0.0,0.0,0.0,4.0,0
410,29.0,1.0,1.0,0.0,0.0,1.0,8.0,0
411,64.0,1.0,1.0,0.0,0.0,1.0,20.0,0
412,28.0,1.0,0.0,0.0,1.0,0.0,3.0,0
413,26.0,0.0,1.0,0.0,1.0,0.0,4.0,1
414,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0
415,31.0,0.0,0.0,0.0,1.0,0.0,12.0,1
416,25.0,1.0,1.0,1.0,1.0,1.0,2.0,1
417,34.0,0.0,1.0,1.0,1.0,1.0,11.0,1
418,49.0,1.0,0.0,0.0,0.0,0.0,5.0,0
419,31.0,0.0,1.0,1.0,0.0,0.0,4.0,1
420,22.0,0.0,1.0,1.0,0.0,0.0,0.0,1
421,58.0,0.0,1.0,0.0,0.0,0.0,18.0,1
422,35.0,1.0,1.0,1.0,0.0,1.0,11.0,1
423,42.0,0.0,0.0,0.0,1.0,1.0,23.0,1
424,44.0,1.0,1.0,1.0,0.0,0.0,18.0,1
425,41.0,0.0,0.0,0.0,1.0,1.0,9.0,0
426,30.0,1.0,1.0,0.0,0.0,1.0,7.0,0
427,39.0,0.0,1.0,1.0,0.0,1.0,7.0,1
428,43.0,1.0,1.0,1.0,0.0,0.0,2.0,0
429,50.0,0.0,0.0,0.0,0.0,1.0,6.0,0
430,36.0,0.0,1.0,0.0,0.0,0.0,7.0,1
431,42.0,0.0,1.0,1.0,0.0,1.0,6.0,1
432,50.0,1.0,0.0,0.0,0.0,0.0,27.0,0
433,40.0,1.0,0.0,0.0,0.0,0.0,22.0,0
434,44.0,0.0,0.0,0.0,1.0,1.0,14.0,0
